0/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
1/1000: 1.000 | 1.000 | 1.000 | 0.500 | 0.500 | 
2/1000: 1.000 | 1.000 | 1.000 | 0.667 | 0.667 | 
3/1000: 1.000 | 1.000 | 1.000 | 0.750 | 0.750 | 
4/1000: 1.000 | 1.000 | 1.000 | 0.800 | 0.800 | 
5/1000: 1.000 | 1.000 | 1.000 | 0.833 | 0.833 | 
6/1000: 1.000 | 1.000 | 1.000 | 0.857 | 0.857 | 
7/1000: 0.875 | 0.875 | 0.875 | 0.750 | 0.750 | 
8/1000: 0.889 | 0.778 | 0.778 | 0.667 | 0.667 | 
9/1000: 0.900 | 0.800 | 0.800 | 0.700 | 0.700 | 
10/1000: 0.909 | 0.818 | 0.818 | 0.727 | 0.727 | 
11/1000: 0.917 | 0.833 | 0.833 | 0.750 | 0.750 | 
12/1000: 0.923 | 0.846 | 0.846 | 0.769 | 0.769 | 
13/1000: 0.929 | 0.857 | 0.857 | 0.786 | 0.714 | 
14/1000: 0.933 | 0.867 | 0.867 | 0.800 | 0.733 | 
15/1000: 0.938 | 0.875 | 0.875 | 0.812 | 0.750 | 
16/1000: 0.941 | 0.882 | 0.824 | 0.765 | 0.706 | 
17/1000: 0.944 | 0.889 | 0.833 | 0.722 | 0.667 | 
18/1000: 0.947 | 0.895 | 0.842 | 0.737 | 0.632 | 
19/1000: 0.950 | 0.900 | 0.850 | 0.750 | 0.650 | 
20/1000: 0.952 | 0.905 | 0.857 | 0.762 | 0.619 | 
21/1000: 0.955 | 0.909 | 0.864 | 0.773 | 0.636 | 
22/1000: 0.957 | 0.913 | 0.870 | 0.739 | 0.609 | 
23/1000: 0.958 | 0.917 | 0.875 | 0.750 | 0.625 | 
24/1000: 0.960 | 0.920 | 0.880 | 0.760 | 0.640 | 
25/1000: 0.962 | 0.923 | 0.885 | 0.769 | 0.615 | 
26/1000: 0.926 | 0.889 | 0.852 | 0.741 | 0.593 | 
27/1000: 0.929 | 0.893 | 0.857 | 0.750 | 0.607 | 
28/1000: 0.931 | 0.897 | 0.862 | 0.759 | 0.621 | 
29/1000: 0.933 | 0.867 | 0.833 | 0.733 | 0.600 | 
30/1000: 0.935 | 0.871 | 0.839 | 0.742 | 0.613 | 
31/1000: 0.938 | 0.875 | 0.844 | 0.750 | 0.625 | 
32/1000: 0.939 | 0.879 | 0.818 | 0.727 | 0.606 | 
33/1000: 0.941 | 0.882 | 0.824 | 0.735 | 0.618 | 
34/1000: 0.943 | 0.886 | 0.829 | 0.743 | 0.629 | 
35/1000: 0.944 | 0.889 | 0.833 | 0.750 | 0.639 | 
36/1000: 0.946 | 0.892 | 0.838 | 0.757 | 0.622 | 
37/1000: 0.947 | 0.895 | 0.816 | 0.737 | 0.605 | 
38/1000: 0.949 | 0.897 | 0.821 | 0.744 | 0.590 | 
39/1000: 0.950 | 0.900 | 0.825 | 0.750 | 0.600 | 
40/1000: 0.951 | 0.902 | 0.829 | 0.756 | 0.610 | 
41/1000: 0.952 | 0.905 | 0.833 | 0.762 | 0.619 | 
42/1000: 0.953 | 0.907 | 0.837 | 0.767 | 0.628 | 
43/1000: 0.955 | 0.909 | 0.841 | 0.773 | 0.636 | 
44/1000: 0.956 | 0.911 | 0.844 | 0.778 | 0.622 | 
45/1000: 0.957 | 0.913 | 0.848 | 0.761 | 0.609 | 
46/1000: 0.957 | 0.915 | 0.851 | 0.766 | 0.617 | 
47/1000: 0.958 | 0.896 | 0.833 | 0.750 | 0.604 | 
48/1000: 0.959 | 0.898 | 0.837 | 0.755 | 0.612 | 
49/1000: 0.960 | 0.900 | 0.840 | 0.760 | 0.620 | 
50/1000: 0.961 | 0.902 | 0.843 | 0.745 | 0.608 | 
51/1000: 0.962 | 0.904 | 0.827 | 0.731 | 0.596 | 
52/1000: 0.962 | 0.906 | 0.811 | 0.717 | 0.585 | 
53/1000: 0.963 | 0.907 | 0.815 | 0.722 | 0.593 | 
54/1000: 0.964 | 0.909 | 0.818 | 0.727 | 0.600 | 
55/1000: 0.964 | 0.911 | 0.821 | 0.714 | 0.589 | 
56/1000: 0.965 | 0.912 | 0.825 | 0.719 | 0.596 | 
57/1000: 0.966 | 0.897 | 0.810 | 0.707 | 0.586 | 
58/1000: 0.966 | 0.898 | 0.814 | 0.712 | 0.593 | 
59/1000: 0.967 | 0.900 | 0.817 | 0.717 | 0.600 | 
60/1000: 0.967 | 0.902 | 0.820 | 0.721 | 0.607 | 
61/1000: 0.952 | 0.887 | 0.806 | 0.710 | 0.597 | 
62/1000: 0.952 | 0.889 | 0.810 | 0.714 | 0.603 | 
63/1000: 0.953 | 0.891 | 0.812 | 0.719 | 0.609 | 
64/1000: 0.954 | 0.877 | 0.800 | 0.708 | 0.600 | 
65/1000: 0.955 | 0.879 | 0.803 | 0.712 | 0.606 | 
66/1000: 0.955 | 0.866 | 0.791 | 0.701 | 0.597 | 
67/1000: 0.956 | 0.868 | 0.794 | 0.706 | 0.588 | 
68/1000: 0.957 | 0.870 | 0.797 | 0.710 | 0.594 | 
69/1000: 0.957 | 0.871 | 0.800 | 0.714 | 0.600 | 
70/1000: 0.958 | 0.873 | 0.803 | 0.718 | 0.606 | 
71/1000: 0.958 | 0.875 | 0.806 | 0.722 | 0.611 | 
72/1000: 0.959 | 0.877 | 0.808 | 0.726 | 0.616 | 
73/1000: 0.959 | 0.878 | 0.797 | 0.716 | 0.608 | 
74/1000: 0.960 | 0.880 | 0.800 | 0.720 | 0.613 | 
75/1000: 0.961 | 0.868 | 0.789 | 0.711 | 0.605 | 
76/1000: 0.961 | 0.870 | 0.792 | 0.701 | 0.597 | 
77/1000: 0.962 | 0.872 | 0.795 | 0.705 | 0.603 | 
78/1000: 0.962 | 0.873 | 0.797 | 0.696 | 0.595 | 
79/1000: 0.963 | 0.875 | 0.787 | 0.688 | 0.588 | 
80/1000: 0.963 | 0.877 | 0.790 | 0.691 | 0.593 | 
81/1000: 0.963 | 0.878 | 0.793 | 0.695 | 0.598 | 
82/1000: 0.964 | 0.880 | 0.795 | 0.699 | 0.602 | 
83/1000: 0.964 | 0.881 | 0.798 | 0.702 | 0.607 | 
84/1000: 0.965 | 0.882 | 0.800 | 0.706 | 0.612 | 
85/1000: 0.965 | 0.884 | 0.802 | 0.709 | 0.616 | 
86/1000: 0.966 | 0.885 | 0.805 | 0.713 | 0.621 | 
87/1000: 0.955 | 0.875 | 0.795 | 0.705 | 0.614 | 
88/1000: 0.955 | 0.876 | 0.798 | 0.708 | 0.618 | 
89/1000: 0.956 | 0.878 | 0.800 | 0.711 | 0.622 | 
90/1000: 0.956 | 0.879 | 0.802 | 0.714 | 0.626 | 
91/1000: 0.957 | 0.880 | 0.804 | 0.717 | 0.630 | 
92/1000: 0.957 | 0.882 | 0.796 | 0.710 | 0.624 | 
93/1000: 0.957 | 0.883 | 0.798 | 0.713 | 0.628 | 
94/1000: 0.958 | 0.884 | 0.800 | 0.716 | 0.632 | 
95/1000: 0.958 | 0.885 | 0.802 | 0.719 | 0.635 | 
96/1000: 0.959 | 0.876 | 0.794 | 0.711 | 0.629 | 
97/1000: 0.959 | 0.878 | 0.796 | 0.714 | 0.622 | 
98/1000: 0.960 | 0.879 | 0.788 | 0.707 | 0.616 | 
99/1000: 0.960 | 0.880 | 0.790 | 0.710 | 0.620 | 
100/1000: 0.960 | 0.881 | 0.792 | 0.713 | 0.624 | 
101/1000: 0.961 | 0.882 | 0.794 | 0.716 | 0.627 | 
102/1000: 0.961 | 0.883 | 0.796 | 0.718 | 0.631 | 
103/1000: 0.952 | 0.875 | 0.788 | 0.712 | 0.625 | 
104/1000: 0.952 | 0.876 | 0.790 | 0.714 | 0.629 | 
105/1000: 0.953 | 0.877 | 0.792 | 0.717 | 0.632 | 
106/1000: 0.953 | 0.879 | 0.794 | 0.720 | 0.636 | 
107/1000: 0.954 | 0.870 | 0.787 | 0.713 | 0.630 | 
108/1000: 0.954 | 0.862 | 0.780 | 0.706 | 0.624 | 
109/1000: 0.955 | 0.864 | 0.782 | 0.709 | 0.627 | 
110/1000: 0.955 | 0.865 | 0.775 | 0.703 | 0.622 | 
111/1000: 0.955 | 0.866 | 0.777 | 0.705 | 0.625 | 
112/1000: 0.947 | 0.858 | 0.770 | 0.699 | 0.619 | 
113/1000: 0.947 | 0.860 | 0.772 | 0.702 | 0.623 | 
114/1000: 0.948 | 0.861 | 0.774 | 0.704 | 0.626 | 
115/1000: 0.948 | 0.862 | 0.776 | 0.698 | 0.621 | 
116/1000: 0.949 | 0.863 | 0.778 | 0.701 | 0.615 | 
117/1000: 0.949 | 0.864 | 0.780 | 0.703 | 0.619 | 
118/1000: 0.950 | 0.866 | 0.773 | 0.697 | 0.613 | 
119/1000: 0.950 | 0.867 | 0.775 | 0.700 | 0.617 | 
120/1000: 0.950 | 0.868 | 0.777 | 0.702 | 0.620 | 
121/1000: 0.951 | 0.869 | 0.779 | 0.705 | 0.615 | 
122/1000: 0.951 | 0.870 | 0.780 | 0.707 | 0.618 | 
123/1000: 0.952 | 0.871 | 0.782 | 0.710 | 0.621 | 
124/1000: 0.952 | 0.872 | 0.784 | 0.712 | 0.624 | 
125/1000: 0.952 | 0.873 | 0.786 | 0.714 | 0.627 | 
126/1000: 0.953 | 0.874 | 0.787 | 0.717 | 0.630 | 
127/1000: 0.953 | 0.875 | 0.781 | 0.711 | 0.625 | 
128/1000: 0.953 | 0.876 | 0.783 | 0.713 | 0.628 | 
129/1000: 0.954 | 0.877 | 0.785 | 0.715 | 0.631 | 
